Id,Score,Time,Correlation
1,155,13.447,0.93590671251
2,152,18.495,0.915677003684
3,160,13.188,0.928285288794
4,152,16.890,0.948148998515
5,158,11.768,0.844300614871
6,153,15.281,0.92754827564
7,146,18.051,0.789666622891
8,151,15.554,0.915217665379
9,152,12.628,0.931105258782
10,140,12.076,0.886715577386
11,160,17.349,0.921308521827
12,160,15.355,0.900578342449
13,155,17.324,0.938819459516
14,159,14.242,0.908984560404
15,159,15.070,0.951778933159
16,142,12.914,0.844404581035
17,152,13.398,0.89502338644
18,157,11.742,0.925155811549
19,143,11.103,0.719811137384
20,148,11.836,0.898107125215
21,155,12.393,0.820662151449
22,138,13.220,0.860700755879
23,150,13.533,0.910378417414
24,150,12.688,0.939923445559
25,157,19.613,0.949169086074
26,143,15.341,0.911613293995
27,149,14.533,0.866036891423
28,160,15.406,0.930747629362
29,157,17.852,0.948517308032
30,151,13.030,0.673562815814
